id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
1,@RCTIENTERTAINMENT,"TETAP BANGGA! Walaupun Indonesia harus menelan kekalahan dari Uzbekistan, namun Semangat Garuda Muda takkan pernah padam! Tetap dukung Indonesia U-23 untuk lolos ke Olimpiade di perebutan tempat ketiga selanjutnya. 馃敟馃敟馃敟",UgwzCZmkReeHutPvqYx4AaABAg,,1814,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwzCZmkReeHutPvqYx4AaABAg,2024-04-29 12:42:17,351,"TETAP BANGGA! Walaupun Indonesia harus menelan kekalahan dari Uzbekistan, namun Semangat Garuda Muda takkan pernah padam! Tetap dukung Indonesia U-23 untuk lolos ke Olimpiade di perebutan tempat ketiga selanjutnya. 馃敟馃敟馃敟",http://www.youtube.com/@RCTIENTERTAINMENT
2,@edothereddevils,Lolos ke semifinal AFC U-23 dengan status debutan 鉁� Masih berpeluang lolos ke Olimpiade Paris 2024 鉁� . Perjuangan tanpa lelah pemain  tim pelatih Garuda muda Disertai dengan doa  dukungan ratusan juta rakyat Indonesia Dan masih ada yang tidak bangga dengan pencapaian mereka?? Patut dipertanyakan nasionalismenya!!,UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3fjwYaMG,@RCTIENTERTAINMENT,112,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3fjwYaMG,2024-04-29 12:42:32,0,Lolos ke semifinal AFC U-23 dengan status debutan 鉁� Masih berpeluang lolos ke Olimpiade Paris 2024 鉁� . Perjuangan tanpa lelah pemain  tim pelatih Garuda muda Disertai dengan doa  dukungan ratusan juta rakyat Indonesia Dan masih ada yang tidak bangga dengan pencapaian mereka?? Patut dipertanyakan nasionalismenya!!,http://www.youtube.com/@edothereddevils
3,@Independence4545,"Kadang hidup dejavu sudah 3x terhenti oleh uzbekistan di piala asia u20, asian games dan piala asia u23. Di asian games lebih ngenes lagi dengan pemain sangat seadanya banyak yang dilarang klub hampir saja mengejutkan gol menit2 akhir dan lanjut penalti tapi ternyata offside padahal indra sjafri udah sujud syukur duluan kaya ferarri. Dan jangan lah selalu menyalahkan wasit, kalau dilihat yah memang banyak pemain lawan terkena kaki, badan, kepala, dan bahkan burungnya ikut ketendang juga, ini jauh lebih parah dari vietnam dan korea. Harus tetap fokus masih ada kesempatan maksimal 2 laga lagi untuk ke olimpiade",UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3iGPkTug,@RCTIENTERTAINMENT,30,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3iGPkTug,2024-04-29 12:42:53,0,"Kadang hidup dejavu sudah 3x terhenti oleh uzbekistan di piala asia u20, asian games dan piala asia u23. Di asian games lebih ngenes lagi dengan pemain sangat seadanya banyak yang dilarang klub hampir saja mengejutkan gol menit2 akhir dan lanjut penalti tapi ternyata offside padahal indra sjafri udah sujud syukur duluan kaya ferarri. Dan jangan lah selalu menyalahkan wasit, kalau dilihat yah memang banyak pemain lawan terkena kaki, badan, kepala, dan bahkan burungnya ikut ketendang juga, ini jauh lebih parah dari vietnam dan korea. Harus tetap fokus masih ada kesempatan maksimal 2 laga lagi untuk ke olimpiade",http://www.youtube.com/@Independence4545
4,@user-gu8uw8uw9v,Ga jauh sama QAVAR,UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3loWlr92,@RCTIENTERTAINMENT,23,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3loWlr92,2024-04-29 12:43:22,0,Ga jauh sama QAVAR,http://www.youtube.com/@user-gu8uw8uw9v
5,@SumarYanto-my5me,Uyquiwuwruwruwrweyeeyerurwqiyrtrrwqqrwewrqweqqrewqeewyqrewqeqrwrw鈥婡@edothereddevils,UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3oRwD9CG,@RCTIENTERTAINMENT,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3oRwD9CG,2024-04-29 12:43:43,0,Uyquiwuwruwruwrweyeeyerurwqiyrtrrwqqrwewrqweqqrewqeewyqrewqeqrwrw鈥婡@edothereddevils,http://www.youtube.com/@SumarYanto-my5me
6,@muhammadkhadafi6965,Saran latihan full setahun penuh passing dan kontrol deh kalau mau juara dunia,UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p44d-ChEK,@RCTIENTERTAINMENT,32,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p44d-ChEK,2024-04-29 12:46:04,0,Saran latihan full setahun penuh passing dan kontrol deh kalau mau juara dunia,http://www.youtube.com/@muhammadkhadafi6965
7,@user-ru5rv7eq2m," ""; wasit nya curang",UgxI0WzGtSOov07AE6B4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxI0WzGtSOov07AE6B4AaABAg,2024-05-02 0:40:42,0," ""; wasit nya curang",http://www.youtube.com/@user-ru5rv7eq2m
8,@Kisellandak-yk2kv,Mentahan nggak ada kena ih wasitnya babi,UgwU8EHIkJKq_5Cchp14AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwU8EHIkJKq_5Cchp14AaABAg,2024-05-02 0:05:01,0,Mentahan nggak ada kena ih wasitnya babi,http://www.youtube.com/@Kisellandak-yk2kv
9,@jerriputraka6360,wasit nya tidak bisa. hajar kapal tahiilan,Ugz0joWNVqbknC3-RHh4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugz0joWNVqbknC3-RHh4AaABAg,2024-05-02 0:04:04,0,wasit nya tidak bisa. hajar kapal tahiilan,http://www.youtube.com/@jerriputraka6360
10,@jerriputraka6360,"loh kok lewat, garis, caranya wasit tahiilan itu di tendang la.",Ugwz73bRjD-KK5uCCMV4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugwz73bRjD-KK5uCCMV4AaABAg,2024-05-02 0:01:14,0,"loh kok lewat, garis, caranya wasit tahiilan itu di tendang la.",http://www.youtube.com/@jerriputraka6360
11,@revajanganlupa1165,Wasitnya curang padahal udah 1.0,UgzSZSvwUm3OJyVme_V4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzSZSvwUm3OJyVme_V4AaABAg,2024-05-01 23:43:33,0,Wasitnya curang padahal udah 1.0,http://www.youtube.com/@revajanganlupa1165
12,@user-lj2sj4pc2j,Uzbekistan menang haram .nama negara ini .zati diri bangsa suwap wasit .dunia ter bahak bahak hahahaha .bola zadi senetron wasit menang suab,UgzkuzXJIw0xHXg2LKB4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzkuzXJIw0xHXg2LKB4AaABAg,2024-05-01 23:37:55,0,Uzbekistan menang haram .nama negara ini .zati diri bangsa suwap wasit .dunia ter bahak bahak hahahaha .bola zadi senetron wasit menang suab,http://www.youtube.com/@user-lj2sj4pc2j
13,@zulwinahyu4037,Yasit ya curang,UgxOd7L5BeBhbDOuMs54AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxOd7L5BeBhbDOuMs54AaABAg,2024-05-01 23:07:00,0,Yasit ya curang,http://www.youtube.com/@zulwinahyu4037
14,@Robi09-qj3mk,Permainan Ramdan sananta sangat2 TDK baik mkanya dia sebenarnya di kursi cadangan oleh sty oleh struik tdak dpat main.itu lah keraguan sty bner2 terjadi.ramdan harus perbaiki lgi cara bermain nya biar lbih bagus lgi dr sebelumnya!!!,UgzsarOoobD5xJkVtE14AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzsarOoobD5xJkVtE14AaABAg,2024-05-01 23:04:05,0,Permainan Ramdan sananta sangat2 TDK baik mkanya dia sebenarnya di kursi cadangan oleh sty oleh struik tdak dpat main.itu lah keraguan sty bner2 terjadi.ramdan harus perbaiki lgi cara bermain nya biar lbih bagus lgi dr sebelumnya!!!,http://www.youtube.com/@Robi09-qj3mk
15,@Abu_Syuhada1515,Haha,UgxymtDYCCpy1ThUvWx4AaABAg,,1,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxymtDYCCpy1ThUvWx4AaABAg,2024-05-01 23:00:35,0,Haha,http://www.youtube.com/@Abu_Syuhada1515
16,@SarNata-wk9tm,Kipernya nge-prank pemain dipegang doang ama Ramadan g jatuh,Ugwfew_3rpv80GPzBpF4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugwfew_3rpv80GPzBpF4AaABAg,2024-05-01 22:58:44,0,Kipernya nge-prank pemain dipegang doang ama Ramadan g jatuh,http://www.youtube.com/@SarNata-wk9tm
17,@user-ri1kg8cd7z,Komentar sok tau,UgxOsFvbNJxPLwods8l4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxOsFvbNJxPLwods8l4AaABAg,2024-05-01 22:47:57,0,Komentar sok tau,http://www.youtube.com/@user-ri1kg8cd7z
18,@santony9965,"jelas buah bawah orang di tendang .protes apa ???馃槄 kalau di liga tarkam itu bagi sebagaian hal biasa .di liga eropa ,liga besar iti sudah pelanggaran keras",Ugy6qk2snISmzEdFOCB4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugy6qk2snISmzEdFOCB4AaABAg,2024-05-01 22:31:19,0,"jelas buah bawah orang di tendang .protes apa ???馃槄 kalau di liga tarkam itu bagi sebagaian hal biasa .di liga eropa ,liga besar iti sudah pelanggaran keras",http://www.youtube.com/@santony9965
19,@jantoskeren2737,Goal ke-2 mana? Habis ridho kena kartu merah. Tiba tiba udah 2-0,Ugy6qOFizTEQLJzfNA54AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugy6qOFizTEQLJzfNA54AaABAg,2024-05-01 21:40:49,0,Goal ke-2 mana? Habis ridho kena kartu merah. Tiba tiba udah 2-0,http://www.youtube.com/@jantoskeren2737
20,@sahansah8093,Wasitte anjeng,Ugz-5qduAa_CwM9BfzZ4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugz-5qduAa_CwM9BfzZ4AaABAg,2024-05-01 21:23:06,0,Wasitte anjeng,http://www.youtube.com/@sahansah8093
21,@bangsawanjak1289,"Katanya Insonesia vs Uzbekistan tanding ulang ko\' malam ini perebutan juara 3, ndak apalah yg penting Indonesia juara 3 馃挭馃挭馃挭",Ugy9nZYFq2UkWk8N8xx4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugy9nZYFq2UkWk8N8xx4AaABAg,2024-05-01 21:03:58,0,"Katanya Insonesia vs Uzbekistan tanding ulang ko\' malam ini perebutan juara 3, ndak apalah yg penting Indonesia juara 3 馃挭馃挭馃挭",http://www.youtube.com/@bangsawanjak1289
22,@OPPONot-rv6ql,Wasit shen yin hao馃槨馃槨馃憥馃憥,UgwEZlXB9tUZmzQSEkl4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwEZlXB9tUZmzQSEkl4AaABAg,2024-05-01 20:34:16,0,Wasit shen yin hao馃槨馃槨馃憥馃憥,http://www.youtube.com/@OPPONot-rv6ql
23,@SitiMubarokah-uy8cx,Indonesia pasti menang 鉂も潳鉂�,Ugzv0_TtI0xB5NtFp6B4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugzv0_TtI0xB5NtFp6B4AaABAg,2024-05-01 19:51:36,0,Indonesia pasti menang 鉂も潳鉂�,http://www.youtube.com/@SitiMubarokah-uy8cx
24,@MarjonJon-xb9ek,Kalau msh begini cara indonesia main tdk akan pernah juara,UgwtieZxt14KRf3uoU94AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwtieZxt14KRf3uoU94AaABAg,2024-05-01 19:46:26,0,Kalau msh begini cara indonesia main tdk akan pernah juara,http://www.youtube.com/@MarjonJon-xb9ek
25,@user-rx4jm1mc8b,wasit babyy馃槷,Ugwk5oe3rct1-MjpMAh4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugwk5oe3rct1-MjpMAh4AaABAg,2024-05-01 19:45:07,0,wasit babyy馃槷,http://www.youtube.com/@user-rx4jm1mc8b
26,@farrasrt546,Wasitnya curang 馃槶 wasitnya dari Thailand,UgwiQcQWZJ3gcngx4zl4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwiQcQWZJ3gcngx4zl4AaABAg,2024-05-01 19:17:03,0,Wasitnya curang 馃槶 wasitnya dari Thailand,http://www.youtube.com/@farrasrt546
27,@blackskind8024,"Presing tinggi pemain uzbekistan di garis pertahanan indonesia kinci kemenangan uzbek, pemain indonesia bahkan tdk bisa mengembangkan pasing di area sendiri, taktik jenius pelatih uzbek mengetahui titik kelemahan indonesia.",UgyXJqnPfUoAUZDcYd94AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgyXJqnPfUoAUZDcYd94AaABAg,2024-05-01 19:14:30,0,"Presing tinggi pemain uzbekistan di garis pertahanan indonesia kinci kemenangan uzbek, pemain indonesia bahkan tdk bisa mengembangkan pasing di area sendiri, taktik jenius pelatih uzbek mengetahui titik kelemahan indonesia.",http://www.youtube.com/@blackskind8024
28,@calesticall128,343 tampaknya sudah sudah lebih dulu di teliti oleh Negara lain maka itu harus di gembor lagi pemain cadangan nya. Tetap semangat.,UgxW_DdaepMaKI6OiMN4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxW_DdaepMaKI6OiMN4AaABAg,2024-05-01 18:41:18,0,343 tampaknya sudah sudah lebih dulu di teliti oleh Negara lain maka itu harus di gembor lagi pemain cadangan nya. Tetap semangat.,http://www.youtube.com/@calesticall128
29,@kiranaaudio,Wasid kok pilih kasih,UgwmH1LXNfPkK7YrMzV4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwmH1LXNfPkK7YrMzV4AaABAg,2024-05-01 17:26:41,0,Wasid kok pilih kasih,http://www.youtube.com/@kiranaaudio
30,@borissimamora,wasit an**** 馃が馃が馃が,UgwCI9OLreTmmVPDcV14AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwCI9OLreTmmVPDcV14AaABAg,2024-05-01 17:10:16,0,wasit an**** 馃が馃が馃が,http://www.youtube.com/@borissimamora
31,@bangtom5746,Wasit curang dalam permainan....,UgzoClZGzYF4f7l_1AF4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzoClZGzYF4f7l_1AF4AaABAg,2024-05-01 16:15:20,0,Wasit curang dalam permainan....,http://www.youtube.com/@bangtom5746
32,@user-to1dd1rq9t,AFC gak jelas sarang mafia bola,UgxfdrMbR1CSBSd-ERJ4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxfdrMbR1CSBSd-ERJ4AaABAg,2024-05-01 15:35:09,0,AFC gak jelas sarang mafia bola,http://www.youtube.com/@user-to1dd1rq9t
33,@user-qm9bc9lm8q,indonesia kalah!?,UgwVxiIoZ8J7Rp3Zhep4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwVxiIoZ8J7Rp3Zhep4AaABAg,2024-05-01 15:13:56,0,indonesia kalah!?,http://www.youtube.com/@user-qm9bc9lm8q
34,@depigranium,alhmdl kalah juga indo 馃槀,UgwXcJJL1IAOJEuLkzx4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwXcJJL1IAOJEuLkzx4AaABAg,2024-05-01 14:45:57,0,alhmdl kalah juga indo 馃槀,http://www.youtube.com/@depigranium
35,@fandefalwi-kg6ie,intinya kalau kalah berarti yang menang pintar sepak bola,UgxMwv0QPEKf1txzG7V4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxMwv0QPEKf1txzG7V4AaABAg,2024-05-01 14:38:11,0,intinya kalau kalah berarti yang menang pintar sepak bola,http://www.youtube.com/@fandefalwi-kg6ie
36,@Eelfatin,Wasit bayaran mungkin,Ugyo-DNnjm9WYQe_8ht4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugyo-DNnjm9WYQe_8ht4AaABAg,2024-05-01 14:33:27,0,Wasit bayaran mungkin,http://www.youtube.com/@Eelfatin
37,@kai-mv1cd,"saat lawan uzbekistan timnas kita ini sedang di pressure lawan hingga area pertahanan kita, bagi tim lawan yg sedang menekan pertahanan kita, pasti itu sebenarnya ada sisi positif dan negatifnya juga, mungkin mereka kuat di depan dengan mempressure bek kita, tapi jelas pertahanan mereka juga lowong karena pemain lawan terlalu tinggi ke depan, untuk itulah bagaimana kita harus bisa memanfaatkan kelemahan mereka di pertahanan mereka mungkin dengan serangan balik cepat dengan long ball, atau menempatkan pemain dengan kecepatan tinggi di depan, atau yg bisa menahan bola di depan, kedepannya timnas kita harus punya solusi jika kita menghadapi lagi tim yg menerapkan taktik seperti uzbekistan dengan pressing tinggi,",UgxTyqOj-iCYBSfR_n54AaABAg,,1,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxTyqOj-iCYBSfR_n54AaABAg,2024-05-01 14:22:33,0,"saat lawan uzbekistan timnas kita ini sedang di pressure lawan hingga area pertahanan kita, bagi tim lawan yg sedang menekan pertahanan kita, pasti itu sebenarnya ada sisi positif dan negatifnya juga, mungkin mereka kuat di depan dengan mempressure bek kita, tapi jelas pertahanan mereka juga lowong karena pemain lawan terlalu tinggi ke depan, untuk itulah bagaimana kita harus bisa memanfaatkan kelemahan mereka di pertahanan mereka mungkin dengan serangan balik cepat dengan long ball, atau menempatkan pemain dengan kecepatan tinggi di depan, atau yg bisa menahan bola di depan, kedepannya timnas kita harus punya solusi jika kita menghadapi lagi tim yg menerapkan taktik seperti uzbekistan dengan pressing tinggi,",http://www.youtube.com/@kai-mv1cd
38,@deniatobing4979,"I am Australian, the match was not satisfactory from the referee, it was not offside who took an onside kick, Witan scored a goal and gave a pass to Sananta. If you want to cheat and don\'t like the Indonesian national team, the winnings will be given directly to Uzbekistan without having to compete. This crazy soccer game is played and made a joke in Asia and even the world. The struggle and hard work and justice of the Indonesian people are number 1",UgzSQlfVmmisHo4Xlnl4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzSQlfVmmisHo4Xlnl4AaABAg,2024-05-01 14:09:48,0,"I am Australian, the match was not satisfactory from the referee, it was not offside who took an onside kick, Witan scored a goal and gave a pass to Sananta. If you want to cheat and don\'t like the Indonesian national team, the winnings will be given directly to Uzbekistan without having to compete. This crazy soccer game is played and made a joke in Asia and even the world. The struggle and hard work and justice of the Indonesian people are number 1",http://www.youtube.com/@deniatobing4979
39,@adhylegex5456,Timnas sekarang tidak takut sama team manapun..tp takutnya sama wasit,Ugy--b2MQDblCTiConp4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugy--b2MQDblCTiConp4AaABAg,2024-05-01 13:52:21,0,Timnas sekarang tidak takut sama team manapun..tp takutnya sama wasit,http://www.youtube.com/@adhylegex5456
40,@muhammadfaris1792,wasit taianjng馃槩,Ugy6OcG7rClDmKlSyLl4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugy6OcG7rClDmKlSyLl4AaABAg,2024-05-01 13:29:40,0,wasit taianjng馃槩,http://www.youtube.com/@muhammadfaris1792
41,@thepinkasrofi7214,Komentatornya kok ngikuti yg dilakukan wasit,Ugx-j9sgTaY7VEsHwAd4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugx-j9sgTaY7VEsHwAd4AaABAg,2024-05-01 13:17:57,0,Komentatornya kok ngikuti yg dilakukan wasit,http://www.youtube.com/@thepinkasrofi7214
42,@TonciTetrapoit,gol golllll,UgwXQBTfX-yiASuIs4h4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwXQBTfX-yiASuIs4h4AaABAg,2024-05-01 13:11:48,0,gol golllll,http://www.youtube.com/@TonciTetrapoit
43,@CitraUsaha-xe6zt,Dia tdk tambah itu bang abang salah lihat.,Ugz6I0f8CuSGsLI18CJ4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugz6I0f8CuSGsLI18CJ4AaABAg,2024-05-01 13:09:29,0,Dia tdk tambah itu bang abang salah lihat.,http://www.youtube.com/@CitraUsaha-xe6zt
44,@CitraUsaha-xe6zt,Bang tdk menjadi ukuran dua kali masuk final kalo wasitnya tidak netral.,UgwFDpLI0o4PxmNGnrd4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwFDpLI0o4PxmNGnrd4AaABAg,2024-05-01 13:06:49,0,Bang tdk menjadi ukuran dua kali masuk final kalo wasitnya tidak netral.,http://www.youtube.com/@CitraUsaha-xe6zt
45,@CitraUsaha-xe6zt,Kentara sekali nego nya.sengaja agar uang sogok TDK diambil kembali,UgxDc9ERp7SETkNNH3l4AaABAg,,1,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxDc9ERp7SETkNNH3l4AaABAg,2024-05-01 13:03:06,0,Kentara sekali nego nya.sengaja agar uang sogok TDK diambil kembali,http://www.youtube.com/@CitraUsaha-xe6zt
46,@CitraUsaha-xe6zt,Gol murni tadi itu.wasitnya yg cari gara gara.,Ugx-DWitJP7_x4h8ZYh4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugx-DWitJP7_x4h8ZYh4AaABAg,2024-05-01 13:00:37,0,Gol murni tadi itu.wasitnya yg cari gara gara.,http://www.youtube.com/@CitraUsaha-xe6zt
47,@user-on5tg5gl9d,Cari pemain naturalisasi kalah cari kambing hitam kasihan sekali anda indonesia 馃槩馃槩馃槩馃槩,UgzSrMYP0-R1gLMP1WF4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzSrMYP0-R1gLMP1WF4AaABAg,2024-05-01 12:39:52,0,Cari pemain naturalisasi kalah cari kambing hitam kasihan sekali anda indonesia 馃槩馃槩馃槩馃槩,http://www.youtube.com/@user-on5tg5gl9d
48,@esasesanto2919,Uzbekistan an garuda sangat hebat.selebihnya wasitnya yang error,Ugxud1PwrHjmKX3XApx4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugxud1PwrHjmKX3XApx4AaABAg,2024-05-01 12:31:31,0,Uzbekistan an garuda sangat hebat.selebihnya wasitnya yang error,http://www.youtube.com/@esasesanto2919
49,@cuacatropis4349,Kalah yo kalah ae,UgxbExjmdpqKh29buLt4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxbExjmdpqKh29buLt4AaABAg,2024-05-01 11:53:22,0,Kalah yo kalah ae,http://www.youtube.com/@cuacatropis4349
50,@rahmanditahibatullah,"18 : 32 daf***kkk, malah gak sah gol-nya",UgzebRVUAejBesy2ILl4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzebRVUAejBesy2ILl4AaABAg,2024-05-01 11:34:40,0,"18 : 32 daf***kkk, malah gak sah gol-nya",http://www.youtube.com/@rahmanditahibatullah
51,@MuhAlifsyarif,Wasit nya yg curang tu,UgxaVlVVj2Vvrtc3rhZ4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxaVlVVj2Vvrtc3rhZ4AaABAg,2024-05-01 11:32:25,0,Wasit nya yg curang tu,http://www.youtube.com/@MuhAlifsyarif
52,@roki.gemblung,dari awal indonesia sdh kalah mental di bombardir terus bahkan tdk bisa mendekati gawang lawan. inilah jadinya kl terlalu di sanjung ketika menang.,Ugy8wp1Owxy_gk0hAlN4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugy8wp1Owxy_gk0hAlN4AaABAg,2024-05-01 11:32:18,0,dari awal indonesia sdh kalah mental di bombardir terus bahkan tdk bisa mendekati gawang lawan. inilah jadinya kl terlalu di sanjung ketika menang.,http://www.youtube.com/@roki.gemblung
53,@MuhAlifsyarif,Wasit curang tu,Ugz53pXVz997d4WTpwV4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugz53pXVz997d4WTpwV4AaABAg,2024-05-01 11:30:49,0,Wasit curang tu,http://www.youtube.com/@MuhAlifsyarif
54,@AziebEminor,"dulu indonesia terlalu fokus dengan pemain penyerang dibanding bek, sekarang semuanya imbang dan keren banget. meskipun kalah dengan wasit, tetap semangat indonesiaku 鉂�",UgzssVVNDxQsGYDi4ct4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzssVVNDxQsGYDi4ct4AaABAg,2024-05-01 11:17:21,0,"dulu indonesia terlalu fokus dengan pemain penyerang dibanding bek, sekarang semuanya imbang dan keren banget. meskipun kalah dengan wasit, tetap semangat indonesiaku 鉂�",http://www.youtube.com/@AziebEminor
55,@riyan5820,"Uzbekistan kayak babi,semoga Indonesia tetap maju",UgwZXG7YqEXqoRdx2aV4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwZXG7YqEXqoRdx2aV4AaABAg,2024-05-01 11:11:27,0,"Uzbekistan kayak babi,semoga Indonesia tetap maju",http://www.youtube.com/@riyan5820
56,@user-bu4fe4hz8e,antara wasit gb*k sama usbikistin nyogok,UgxEHGBtcBHCHlM9b314AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxEHGBtcBHCHlM9b314AaABAg,2024-05-01 11:00:48,0,antara wasit gb*k sama usbikistin nyogok,http://www.youtube.com/@user-bu4fe4hz8e
57,@user-lm1ls3bn7r,Satu kata buat wasit Dajjal,Ugzy5DIWidqe9j0zzUd4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugzy5DIWidqe9j0zzUd4AaABAg,2024-05-01 10:52:53,0,Satu kata buat wasit Dajjal,http://www.youtube.com/@user-lm1ls3bn7r
58,@adebro,"Sananta striker sering bgt offside ga liat posisi, terakhir arhan panik bgt sampe bunuh diri",Ugzw30iKXrz9tCqQa7F4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugzw30iKXrz9tCqQa7F4AaABAg,2024-05-01 10:52:37,0,"Sananta striker sering bgt offside ga liat posisi, terakhir arhan panik bgt sampe bunuh diri",http://www.youtube.com/@adebro
59,@marnimedang408,Katanya udah sakti,Ugxel9zW01WvjjGMO4p4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugxel9zW01WvjjGMO4p4AaABAg,2024-05-01 10:49:54,0,Katanya udah sakti,http://www.youtube.com/@marnimedang408
60,@Subscriber_pemula,Ganti presenter tukang siar yang iya iya saja membenarkan kesalahan indo ... Muak sekali dengernya,Ugx6lJvvuUzpOxITaEx4AaABAg,,1,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugx6lJvvuUzpOxITaEx4AaABAg,2024-05-01 10:47:05,0,Ganti presenter tukang siar yang iya iya saja membenarkan kesalahan indo ... Muak sekali dengernya,http://www.youtube.com/@Subscriber_pemula
