id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
380,@davidjhon5943,Tolong wasit2 sontoloyo d pecat biar jadi pengangguran br miskin KEREEEEE,UgywaA20HJyMflMCypd4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgywaA20HJyMflMCypd4AaABAg,2024-04-30 14:07:02,0,Tolong wasit2 sontoloyo d pecat biar jadi pengangguran br miskin KEREEEEE,http://www.youtube.com/@davidjhon5943
381,@siswantosiswantoojolbatam,Saya perhati kn wasid ya agak curang bola yang gol indonesia itu murni gk terjbak sait karna lawan ya ada di dpn,Ugy8d9veCjGboZ4xZjp4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugy8d9veCjGboZ4xZjp4AaABAg,2024-04-30 14:02:54,0,Saya perhati kn wasid ya agak curang bola yang gol indonesia itu murni gk terjbak sait karna lawan ya ada di dpn,http://www.youtube.com/@siswantosiswantoojolbatam
382,@antipki5178,OJO NGANTI INDONESIA MENANG...,UgwtrS4CPp5Nvu7zEpp4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwtrS4CPp5Nvu7zEpp4AaABAg,2024-04-30 14:01:49,0,OJO NGANTI INDONESIA MENANG...,http://www.youtube.com/@antipki5178
383,@LahanAnimeYuukiAmay,GOL FERARRI PERASAAN YANG NERIMA KIPER DAH KOK MASIH OFFSIDE MASIH TERHERAN-HERAN,Ugz-iDnVD3wIfeZT2lh4AaABAg,,1,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugz-iDnVD3wIfeZT2lh4AaABAg,2024-04-30 13:57:15,0,GOL FERARRI PERASAAN YANG NERIMA KIPER DAH KOK MASIH OFFSIDE MASIH TERHERAN-HERAN,http://www.youtube.com/@LahanAnimeYuukiAmay
384,@user-cw9wp2ww1g,selamat buat uzbek tim anda memang kuat dan solid buat timnas harus lebih kuat lagi dan profesional,UgyROh8xFG1KhcL03tN4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgyROh8xFG1KhcL03tN4AaABAg,2024-04-30 13:56:07,0,selamat buat uzbek tim anda memang kuat dan solid buat timnas harus lebih kuat lagi dan profesional,http://www.youtube.com/@user-cw9wp2ww1g
385,@sidikhaproject,licik curang,UgwH7Y42OUOqwbZHowV4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwH7Y42OUOqwbZHowV4AaABAg,2024-04-30 13:43:06,0,licik curang,http://www.youtube.com/@sidikhaproject
386,@bangsawanlancangkuning4480,Wasit bermasalah,UgyVAGT3JT25pUEX5g94AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgyVAGT3JT25pUEX5g94AaABAg,2024-04-30 13:42:38,0,Wasit bermasalah,http://www.youtube.com/@bangsawanlancangkuning4480
387,@bangsawanlancangkuning4480,Wasit cina tidak suka Indonesia juara,UgxrwROw7RrfXGUjP2t4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxrwROw7RrfXGUjP2t4AaABAg,2024-04-30 13:42:03,0,Wasit cina tidak suka Indonesia juara,http://www.youtube.com/@bangsawanlancangkuning4480
388,@petrananda6196,Menang haram,Ugxx7sKpOYDlii6f_2d4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugxx7sKpOYDlii6f_2d4AaABAg,2024-04-30 13:34:50,0,Menang haram,http://www.youtube.com/@petrananda6196
389,@OmanGanteng-vi7de,mau ngecek far aja wasit senyum senyum dulu jelas bangat setinganya,Ugw2wAv0hyIyXqjhDeF4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugw2wAv0hyIyXqjhDeF4AaABAg,2024-04-30 13:34:44,0,mau ngecek far aja wasit senyum senyum dulu jelas bangat setinganya,http://www.youtube.com/@OmanGanteng-vi7de
390,@maulanatolevision4785,Sama gak sih Sepengliatan saya nonton. Sepanjang pertandingan Ramadan Sananta Gak ada Konstribusi Main baik nya. .kalaw gak offside ya kartu Kebanyakan Merugikan Team..makanya Sty lebih banyak Menjadikan Sananta duduk di bangku Cadangan.,Ugx8Vwj654dwUjqvv5V4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugx8Vwj654dwUjqvv5V4AaABAg,2024-04-30 13:32:15,0,Sama gak sih Sepengliatan saya nonton. Sepanjang pertandingan Ramadan Sananta Gak ada Konstribusi Main baik nya. .kalaw gak offside ya kartu Kebanyakan Merugikan Team..makanya Sty lebih banyak Menjadikan Sananta duduk di bangku Cadangan.,http://www.youtube.com/@maulanatolevision4785
391,@bangsawanlancangkuning4480,Wasit kampret,Ugw7QrZj_9nMM9-OQah4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugw7QrZj_9nMM9-OQah4AaABAg,2024-04-30 13:31:40,0,Wasit kampret,http://www.youtube.com/@bangsawanlancangkuning4480
392,@ilham_solin40,Kenapa ya wasit kurang profesional dan tidak cocok jadi wasit tu,UgyyN0yvV7K-egPU4Xl4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgyyN0yvV7K-egPU4Xl4AaABAg,2024-04-30 13:30:22,0,Kenapa ya wasit kurang profesional dan tidak cocok jadi wasit tu,http://www.youtube.com/@ilham_solin40
393,@user-fb3yb7kh1p,"Ridho itu anak baik. dan patuh wasiiit , oy kenapa di kasih kartu merah...sedih liat pertandingan semi final kemarin..馃槩",Ugyb502fCjE2SxtbIY14AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugyb502fCjE2SxtbIY14AaABAg,2024-04-30 13:25:51,0,"Ridho itu anak baik. dan patuh wasiiit , oy kenapa di kasih kartu merah...sedih liat pertandingan semi final kemarin..馃槩",http://www.youtube.com/@user-fb3yb7kh1p
394,@RusdiRusdi-xt9oo,"Intinya kita cape kalo cuma bilang sudah cukup sampai semi final,itu tidak memberikan suatu perkembangan sepak bola Indonesia,saya setuju dgn Erick Thohir harus dipaksa kita harus optimis sampai final,kita sebagai masyarakat Indonesia harus optimis donk jgn lemah masa udah cukup kalo sudah kalah bilang udah cukup,,, harus nya kita optimis ngomong nya Indonesia bisa seperti jepang gtu dong,,biar kuat mental, mental pendukung harus kuat biar termotivasi ke pemain juga menularr bro, siapa kita Indonesia 鉂ゐ焽焽焽焽焽焽煉� semangat tembus olimpiade Perancis",UgwRhaTybofyRrtXlyR4AaABAg,,7,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwRhaTybofyRrtXlyR4AaABAg,2024-04-30 13:24:26,1,"Intinya kita cape kalo cuma bilang sudah cukup sampai semi final,itu tidak memberikan suatu perkembangan sepak bola Indonesia,saya setuju dgn Erick Thohir harus dipaksa kita harus optimis sampai final,kita sebagai masyarakat Indonesia harus optimis donk jgn lemah masa udah cukup kalo sudah kalah bilang udah cukup,,, harus nya kita optimis ngomong nya Indonesia bisa seperti jepang gtu dong,,biar kuat mental, mental pendukung harus kuat biar termotivasi ke pemain juga menularr bro, siapa kita Indonesia 鉂ゐ焽焽焽焽焽焽煉� semangat tembus olimpiade Perancis",http://www.youtube.com/@RusdiRusdi-xt9oo
395,@enikekusumawati8292,Aamiin...,UgwRhaTybofyRrtXlyR4AaABAg.A2riGWErDzbA2toQcfTbI1,@RusdiRusdi-xt9oo,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwRhaTybofyRrtXlyR4AaABAg.A2riGWErDzbA2toQcfTbI1,2024-05-01 8:56:43,0,Aamiin...,http://www.youtube.com/@enikekusumawati8292
396,@firdauschannel1629,kecewa dg kpemimpinan wasit..tapi bangga dg perkembangan timnas,UgzeiHvm7IfTKY-ELaB4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzeiHvm7IfTKY-ELaB4AaABAg,2024-04-30 13:18:18,0,kecewa dg kpemimpinan wasit..tapi bangga dg perkembangan timnas,http://www.youtube.com/@firdauschannel1629
397,@user-nv7ty2qg5v,Intinya kalah karena jokowin,UgwEpgqBq92w49PGSVN4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwEpgqBq92w49PGSVN4AaABAg,2024-04-30 13:17:50,0,Intinya kalah karena jokowin,http://www.youtube.com/@user-nv7ty2qg5v
398,@dendiafriansya7813,Indonesia main nya kasar 馃槄,UgyDaW4iuNA3vsVfUCt4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgyDaW4iuNA3vsVfUCt4AaABAg,2024-04-30 13:17:08,0,Indonesia main nya kasar 馃槄,http://www.youtube.com/@dendiafriansya7813
