description
tetap bangga walaupun indonesia tel kalah uzbekistan semangat garuda muda tak pernah padam tetap dukung indonesia u-23 lolos olimpiade rebut tempat tiga lanjut 
lolos semifinal afc u-23 status debut  peluang lolos olimpiade paris 2024   juang lelah main tim latih garuda muda serta doa dukung ratus juta rakyat indonesia bangga capai mereka patut tanya nasionalisme
kadang hidup dejavu 3x henti uzbekistan piala asia u20 asi games piala asia u23 asi games lebih ngenes main sangat ada banyak larang klub hampir kejut gol menit2 akhir lanjut penalti nyata offside padahal indra sjafri udah sujud syukur duluan kaya ferarri jangan lah selalu salah wasit kalau lihat yah memang banyak main lawan kena kaki badan kepala bahkan burung ikut tendang juga jauh lebih parah vietnam korea tetap fokus sempat maksimal 2 laga olimpiade
ga jauh sama qavar
uyquiwuwruwruwrweyeeyerurwqiyrtrrwqqrwewrqweqqrewqeewyqrewqeqrwrw edothereddevils
saran latih full tahun penuh passing kontrol deh kalau mau juara dunia
 wasit nya curang
mentah kena ih wasit babi
wasit nya bisa hajar kapal tahiilan
loh kok lewat garis cara wasit tahiilan tendang la
wasit curang padahal udah 1 0
uzbekistan menang haram nama negara zat diri bangsa suwap wasit dunia ter bahak bahak hahahaha bola zadi senetron wasit menang suab
yasit curang
main ramdan sananta sangat2 tdk baik mkanya benar kursi cadang sty struik tdak dpat main itu lah ragu sty bner2 jadi ramdan baik lgi cara main nya biar lbih bagus lgi dr belum
haha
kiper nge-prank main pegang doang ama ramadan g jatuh
komentar sok tau
jelas buah bawah orang tendang protes apa  kalau liga tarkam bagai biasa di liga eropa liga besar iti langgar keras
goal ke-2 mana habis ridho kena kartu merah tiba tiba udah 2-0
wasitte anjeng
kata insonesia vs uzbekistan tanding ulang ko malam rebut juara 3 ndak apa yg penting indonesia juara 3 
wasit shen yin hao
indonesia menang 
kalau msh begini cara indonesia main tdk pernah juara
wasit babyy
wasit curang  wasit thailand
presing tinggi main uzbekistan garis tahan indonesia kinci menang uzbek main indonesia bahkan tdk kembang pasing area sendiri taktik jenius latih uzbek tahu titik lemah indonesia
343 tampak lebih dulu teliti negara gembor main cadang nya tetap semangat
wasid kok pilih kasih
wasit an 
wasit curang main
afc gak jelas sarang mafia bola
indonesia kalah
alhmdl kalah indo 
inti kalau kalah arti menang pintar sepak bola
wasit bayar mungkin
lawan uzbekistan timnas sedang pressure lawan hingga area tahan kita tim lawan yg sedang tekan tahan kita benar sisi positif negatif juga mungkin kuat depan mempressure bek kita jelas tahan lowong main lawan terlalu tinggi depan bagaimana manfaat lemah tahan mungkin serang balik cepat long ball tempat main cepat tinggi depan yg tahan bola depan depan timnas punya solusi hadap tim yg terap taktik uzbekistan pressing tinggi
i am australian the match was not satisfactory from the referee it was not offside who took an onside kick witan scored a goal and gave a pass to sananta if you want to cheat and don t like the indonesian national team the winnings will be given directly to uzbekistan without having to compete this crazy soccer game is played and made a joke in asia and even the world the struggle and hard work and justice of the indonesian people are number 1
timnas sekarang takut sama team mana tp takut sama wasit
wasit taianjng
komentator kok ngikuti yg laku wasit
gol golllll
tdk tambah bang abang salah lihat
bang tdk jadi ukur kali masuk final kalo wasit netral
kentara sekali nego nya sengaja uang sogok tdk ambil
gol murni tadi itu wasit yg cari gara gara
cari main naturalisasi kalah cari kambing hitam kasihan sekali indonesia 
uzbekistan an garuda sangat hebat lebih wasit error
kalah yo kalah ae
18  32 daf kkk malah gak sah gol
wasit nya yg curang tu
awal indonesia sdh kalah mental bombardir terus bahkan tdk dekat gawang lawan ini jadi kl terlalu sanjung menang
wasit curang tu
dulu indonesia terlalu fokus main serang banding bek sekarang semua imbang keren banget meski kalah wasit tetap semangat indonesia 
uzbekistan kayak babi moga indonesia tetap maju
wasit gb k sama usbikistin nyogok
satu kata buat wasit dajjal
sananta striker sering bgt offside ga liat posisi akhir arhan panik bgt sampe bunuh diri
kata udah sakti
ganti presenter tukang siar iya iya benar salah indo  muak sekali dengernya
liat main dengn wasit yg kya viva hrus intro gas
wasit asuuu
wasit nya curang jelas bngt curany nya
orang ga ikutin bola kecewa yasudah kalau kalah lapang tetap menang hati karna udah juang baik mungkin tuntut tanding ulang masuk akal orang indonesia karna yakin buah maju masa belum
kalah menang biasa ga kecewa
wasit ngga jelas
wasit suru sujud sama gua sini
wasit bagus jadi terus ketua mk
bendera hakim garis angkat padahal tdk ad protes  main sirkus
mah bayar
tanya anjar  di u23 kan ga israel  kenapa jadi begini  mustinya u16 5 yaaa   aib lu jar   
putus putus krusial asal hasil var hasil var udh paling adil jelas netizen indo banyak gak terima nyata wkwkwk terkadang nyata memang pahit fakta kalo protes sama wasit pas lawan qatar nah masuk akal karna wasit ambil putus krusial tolak var
eh gol pertama indonesia bukan obset
wasit sogak pakeduit
gak terima indonesia 0 gak terima 
tetap bngga indonesia
gak sekali mati aja main uzebekistan
alay main uzekistan
wasit nanya pilih kasih njir
kayak tahi masjid dekat kuntul  apa bahasa indonesia
tau memang car ambil engglenya nyerong gak tarik lurus wasit car thailand iri
gw doain yg paha kena ketemu cewek yg suka nendang kontil
benar seri wasit nya curang gi indonesia uzbekistan menang 
bangga
wasi asu
uzbekistan asu uzbekistan botttttttttttt jangan sok keras dek lu aja lawan por tuga aja paling portugal menang 100-0
wasit tengil
wasit biabi 
wasit jahanam
memang offside oper kok
gol pun timnas kalah kelas juga
jangan uzbekistan yg did hukum dua wasit itu did hukum larang pimpin seluruh tanding baik even asia atau fifa
main main indonesia lokal ulah enosi pancing akhir kartu merah udah goal bunuh diri nah kualitas lokal
tenang aja ciri2 negara masuk piala dunia
strategi 4-4-2 baru pas lawan uzbekistan komang teguh main starter bawa untung punya insting gollin
bs yo olimpiade
wasit kek p3p3k
wasit nyaaa anjiii
wasit bayar
aku cinta indonesia 
wasidnya culas
wasit telaso
menit 12 11 liat umpan dulu posisi offside bola lambung baru kaki sananta ada posisi offside
wasit kampang tailan baby
bayar berapa wasit
wasit nya udh g bener mah gimana mau main bagus klw wasit ajah begini
ga adil
benar
wasit zolim biadab atur gol pasti indonesia menang malah dizolimi wasit var thailand
klo wasit var thai hati2 aja 
wasit minta sante9
wasit jan k
was it nya during
wasit kurang adil pihak belah
wasit nya curang 
masalah simple timnas kena pressing lawan lihat passing-passing pendek buntu paksa main lebar renggang jarak antar main harap lepas pressing lawan mahir long pass long ball akhir cuma mutar-mutar area sendiri andal short pass jadi saran short pass long pass dua sama penting long pass mantap latih
wajar indonesia kala wasit bayar
kenapa 
main uzbekistan kaya anak tk senggol sedikit nang
pintar sandiwara kiper uzbekistan
main nya aja kek gitu wasit g curang kalah klu main nya kek gitu
pinalti g pinalti bola crossing offside aneh
jelas kalah kualitas perlu ajar tingkat kalo suporter blajar sportif terima kalah  masak mau lapor mk 
bilang indo kalah wasit curang jgn tutup mata telinga bawah level main timnas jauh bawah uzbek anggap aja lg sial grgr wasit tp untung bnyk uzbek sering bgt kena tiang gentlemen lah utk terima kalah jgn rengek minta match ulang capai timnas jauh sangat baik patut bangga
tim papan atas menang bantu wasit
bad referee
uzbekistan menang jujur moga final ngalahin jepang bangga terus kalah indonesia jadi juara arti lawan main2 juara asi 1
